date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:58	6736/6736	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2016%20May%202016%2011:35:41%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/themes/cargo/js/sliders.js?ver=4.7.3	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/themes/cargo/js/slidersfe9d.js	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:00	29455/29455	---MC-	200	added ('OK')	text/javascript	date:Sat,%2018%20Mar%202017%2001:34:54%20GMT	http://www.google-analytics.com/analytics.js	E:/templates/Logistic/www.google-analytics.com/analytics.js	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:02	9308/9308	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2013:52:59%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/truck_flipped-320x138.jpg	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/truck_flipped-320x138.jpg	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:04	107823/107823	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202017%2001:40:01%20GMT	http://cargo.bold-themes.com/transport-company/home/home-with-fullscreen/	E:/templates/Logistic/cargo.bold-themes.com/transport-company/home/home-with-fullscreen/index.html	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:06	46987/46987	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Oct%202015%2010:55:13%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Cargo-logo-white1.png	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Cargo-logo-white1.png	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:08	10218/10218	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Nov%202015%2011:04:32%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/train_-320x138.jpg	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/train_-320x138.jpg	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:14	98367/98367	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Oct%202015%2010:47:10%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Cargo-logo-color.png	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Cargo-logo-color.png	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:24	157187/157187	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Nov%202015%2010:46:16%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/plane_contrasted_light.jpg	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/plane_contrasted_light.jpg	(from http://cargo.bold-themes.com/transport-company/home/)
08:37:36	203097/203097	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2013:52:58%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/truck_flipped.jpg	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/truck_flipped.jpg	(from http://cargo.bold-themes.com/transport-company/home/)
08:38:04	312219/312219	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Oct%202015%2010:46:41%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Transparent-background-with-dots.png	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/09/Transparent-background-with-dots.png	(from http://cargo.bold-themes.com/transport-company/home/)
08:38:05	175509/175509	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Nov%202015%2015:24:29%20GMT	http://cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/parallax.jpg	E:/templates/Logistic/cargo.bold-themes.com/transport-company/wp-content/uploads/sites/2/2015/10/parallax.jpg	(from http://cargo.bold-themes.com/transport-company/home/)
